Arabic term,Meaning,Literal translation
المشتبهات,"Matters whose lawful or unlawful status is unclear to many people. Avoiding them may protect faith and reputation, but uncertainty alone does not make an act forbidden.",suspicious things
الاحتياط الفقهي,Choosing a legally safer course when credible uncertainty remains. Precaution is not always obligatory and should not create baseless hardship.,precaution
رفع التكليف,The absence or cessation of religious legal responsibility because a recognized condition is missing or an excuse applies. It does not refer to employment duties.,lifting assignment
المكلف,"A person who is legally accountable because the relevant conditions, such as maturity and sound intellect, are present.",assigned person
الأهلية,"Legal capacity to possess rights, bear obligations, and perform valid legal acts. It has degrees and is not identical to everyday intelligence or skill.",competence
القصد,A deliberate aim or direction of the will. It overlaps with intention but may be broader and more directly connected with action.,intention
التعدي,Crossing a lawful limit or exceeding the permission given. It can create legal liability even without malicious intent.,assault
التفريط,"Culpable neglect or failure to meet a required standard of care. It is blameworthy underperformance, not merely an imperfect result.",negligence
الضمان,"Legal liability to compensate for damage, loss, or an obligation; in other contexts, a guarantee or surety. The exact sense depends on the transaction.",guarantee
الحق,"Truth, a valid claim, an entitlement, or an established reality. Because the word is highly polysemous, divine truth and a person's legal right require different English renderings.",right
الباطل,"What lacks valid foundation, contradicts truth, or is legally void. It can describe a belief, argument, act of worship, or contract.",false
الصحة,"Legal validity, meaning that an act or contract fulfils its required conditions and produces its intended legal effects. It does not mean physical health.",health
البطلان,"Legal invalidity that prevents an act or contract from producing its intended effects. It is a technical status, not simply moral falsehood.",falsehood
الفساد العقدي,"A defect that makes a contract irregular or invalid, with the exact distinction varying by legal school. Here ""corruption"" is a technical contract status.",corruption
السبب,"A legally recognized event or attribute that triggers a ruling, such as sunset triggering the time for prayer. It is more precise than an ordinary reason.",reason
المانع,"A factor whose presence prevents a ruling from applying even though its cause exists. It is a legal impediment, not necessarily a physical obstacle.",obstacle
البيع,A valid commercial exchange of property or value. Islamic law defines its essential elements and conditions; it does not mean every transfer.,sale
الإجارة,A contract exchanging payment for a defined service or benefit. It includes leases and many service or employment arrangements.,rent
القرض,Transfer of fungible property to another person who must repay an equivalent amount or quantity. A stipulated gain may turn the transaction into prohibited usury or interest.,loan
الدين المالي,"A financial obligation recorded against a person's liability. Without vowel marks, the Arabic spelling is identical to a different word meaning religion.",religion
الرهن,Property held as security for a debt. It functions as collateral and does not necessarily transfer ownership or refer only to real estate.,mortgage
الشركة,"A partnership based on shared ownership, capital, labour, or profit. It is broader than the modern corporate company.",company
الغرر,Excessive uncertainty in a contract that creates unfair exposure to dispute or loss. Islamic law does not prohibit every uncertainty or ordinary business risk.,risk
الجهالة,"Material lack of knowledge about a contract's subject, price, quantity, or terms. Here it means legally relevant uncertainty, not general ignorance.",ignorance
الخيار,"A contractual option allowing a party to confirm or cancel a transaction under defined grounds or within a stated period. It is a technical right, not preference alone.",choice
النصاب,"The minimum amount of qualifying wealth that triggers certain obligatory alms. In this context it is a financial threshold, not a quorum.",quorum
الحول,Completion of a lunar year for forms of wealth where a holding period is required before obligatory alms become due. The word has other meanings outside this context.,year
العشر,A one-tenth agricultural levy in specified circumstances. Irrigation method and legal details can affect the applicable rate.,ten
زكاة الفطر,"The prescribed charity given at the end of Ramadan for eligible household members, traditionally in staple food and, according to some jurists, its monetary value. It supports the needy before Eid prayer.",festival charity
الصدقة الجارية,"Charity whose benefit and reward continue over time, such as an enduring service or asset. Continuity comes from lasting benefit, not repeated payment alone.",continuous charity
الوقف,Permanently dedicating an asset's benefit to a lawful charitable or family purpose while preserving the underlying asset. Its disposal is restricted by the endowment terms.,endowment
الواقف,"The person who establishes an endowment. It is a technical donor role, not a person who is standing.",one who stops
الموقوف عليه,"The person, group, or purpose designated to receive the benefit of an endowment. A literal translation such as ""the stopped-upon"" is unintelligible.",the stopped-upon
الوقف الأهلي,"A family endowment established for descendants or designated relatives. It is a recognized type of endowment, not ordinary inheritance distribution.",private charity
الوقف الخيري,An endowment dedicated to public or charitable benefit. The underlying asset is normally preserved while its income or use is distributed.,charity fund
بيت المال,"The public treasury holding communal revenue and funding public needs as a trust. It is an institution of public finance, not a private storehouse.",house of money
الفيء,Property or revenue acquired by a classical Muslim polity without direct battle and distributed under specific legal rules. It is distinct from ordinary war booty.,spoils
الغنيمة,"Property acquired in lawful armed conflict under recognized public authority in classical Islamic law. It is a regulated historical category, not permission for private plunder.",loot
الخراج,"A historical land-based public revenue imposed under defined legal rules. It is a specific fiscal category, not a general word for all taxation.",tax
الجزية,"A historical payment imposed within particular protection and exemption arrangements under a Muslim polity. It belongs to a specific classical legal system and should not be reduced to the word ""tribute."".",tribute
الأمانة المالية,"Fiduciary responsibility for wealth belonging to another person or the public. It requires preservation, disclosure, and use only within authorized limits.",financial honesty
الاستخلاف في المال,Understanding human ownership as delegated stewardship under Allah's ultimate ownership. It places moral limits and accountability on the use of wealth.,stewardship of wealth
الكسب الطيب,"Lawful and ethically sound earning free from prohibited means and harm. The word ""wholesome"" adds integrity and benefit beyond formal legality.",good income
الإنفاق,"Spending wealth for dependants, personal needs, public benefit, or worship according to proper priorities. In sermon context, it often carries a devotional meaning.",expenditure
القوام,"A sufficient and balanced level of spending that maintains life without waste or deprivation. Here the word means proper proportion, not standing posture.",standing
ترشيد الاستهلاك,Managing consumption wisely according to genuine need and avoiding waste. It does not necessarily mean austerity or rationing.,rationing
التنمية,"Growth that develops resources, human capacity, and social welfare. In Islamic discourse, it is expected to remain ethically responsible and just.",development
التكسب,Actively seeking lawful livelihood. The word describes earning effort and does not automatically imply profiteering or greed.,profiteering
التعفف,Preserving dignity by refraining from begging or unlawful gain despite need. It does not require hiding genuine need from legitimate sources of support.,abstinence
الأجل,"An appointed term or fixed endpoint for a life, event, debt, or community. Context determines whether it means lifespan, due date, or contractual period.",deadline
سكرات الموت,The intense distress and altered state accompanying the approach of death. The expression uses the image of intoxication but does not refer to a substance.,agonies of death
الاحتضار,The final stage in which death is approaching. It is a bedside condition associated with particular devotional and pastoral practices.,dying
التلقين,"Gently prompting a dying Muslim to say the testimony of faith; in other contexts, teaching or prompting a doctrine. At the deathbed it should not mean coercive repetition.",indoctrination
حسن الخاتمة,"An end to life marked by faith and obedience and hoped-for signs of Allah's favour. It concerns the final spiritual state, not a painless or socially successful death.",happy ending
سوء الخاتمة,An end to life marked by unbelief or grave disobedience. The final standing of a particular person should not be asserted without sound evidence.,bad ending
الوفاة,Death understood as Allah taking the soul; related Qur'anic forms can also refer to taking the soul during sleep. The context determines whether permanent death is intended.,death
قبض الروح,"The soul being taken from the body at the appointed time of death. It is a theological expression, not a physiological explanation.",seizing the spirit
الروح,"The created spirit associated with life, whose full reality is known to Allah. Depending on context, the word can also refer to revelation, Gabriel, or spiritual support and is not always identical to the accountable self or soul.",soul
النفس,"The self or soul as the accountable person, with different moral states. It can mean the person, life, soul, or appetitive self, so ""ego"" is too narrow.",ego
النفس الأمارة,"The self insofar as it repeatedly urges a person toward wrongdoing. It describes a moral tendency, not a separate being inside the person.",commanding soul
النفس اللوامة,"The self that reproaches itself and awakens moral accountability. It can describe conscience and inner struggle, not pathological self-hatred.",blaming soul
النفس المطمئنة,"The self made tranquil through faith, remembrance, and trust in Allah. Its tranquillity is spiritual settlement, not the absence of all sorrow.",comfortable soul
البرزخ,The intermediate realm or barrier between death and resurrection. It has a distinct Islamic meaning and should not be treated as identical to Christian purgatory.,purgatory
عالم البرزخ,"The mode of existence between death and resurrection. It is a theological realm or state, not a geographical world.",world of barriers
القبر,"The physical grave and, by extension, a person's condition in the intermediate state before resurrection. Sermons may use it even when there is no conventional burial.",tomb
نعيم القبر,"Comfort and divine favour granted in the intermediate state after death. It refers to an unseen condition, not physical luxury inside the soil.",grave pleasure
عذاب القبر,Punishment in the intermediate state for those liable to it. It is an unseen theological doctrine and should not be reduced to sensational physical imagery.,grave torture
فتنة القبر,"The questioning and test associated with the grave after death. Here the word means examination, not worldly temptation or civil conflict.",trial of the grave
سؤال الملكين,"The questioning by two angels in the intermediate state. The Arabic word means two angels, not two kings.",questioning by the two angels
منكر ونكير,The traditional proper names of the two angels associated with questioning in the grave. They should not be translated as ordinary adjectives.,Munkar and Nakir
البعث,"Allah's raising the dead to life for judgment. Although the word can mean sending, in eschatological context it means resurrection.",mission
النشور,"The dead rising and spreading forth after resurrection. In this context the word means emergence to judgment, not publication.",publication
الساعة,"The appointed Hour when the present world ends and resurrection begins. It is an eschatological proper expression, not a sixty-minute period.",clock
أشراط الساعة,"The signs indicating the approach of the Last Hour. Here the word means signs or markers, not legal conditions.",signs of the Hour
علامات الساعة,"Events and conditions regarded as signs of the Last Hour. Reports differ in authenticity and interpretation, so individual claims require care.",time indicators
النفخ في الصور,"The angelic blowing of the Trumpet that begins the cosmic events of death and resurrection. In this context, the Arabic word means the Trumpet, not images.",blowing the Trumpet
الصور,"The eschatological Trumpet blown by the angel. Without vowel marks, the written word is easily confused with another word meaning pictures or forms.",images
الصعق,"Overwhelming collapse, loss of consciousness, or death caused by the cosmic blast. It does not specifically mean electric shock.",electrocution
الحشر,"The gathering of all creation for judgment. It is a divinely compelled universal assembly, not an ordinary crowd.",crowding
المحشر,"The place or condition in which all creation is gathered for judgment. It is an eschatological setting, not merely a crowd.",crowd
الموقف,The great standing and overwhelming situation before Allah on the Day of Judgment. Here the word means more than an ordinary position or viewpoint.,position
أرض المحشر,"The transformed ground upon which creation is gathered. It is an eschatological expression, not a present geographic site.",land of the crowd
العرض,"The presentation of a person and their record before Allah for review. In eschatological context, it means exposure to judgment, not a performance or commercial offer.",display
المناقشة,"Detailed and exacting examination of a person's account. In hadith language, it means rigorous questioning, not an ordinary discussion.",discussion
الحساب اليسير,A merciful presentation of the record without exacting interrogation. It does not mean that the person performed only a small number of deeds.,simple calculation
الجزاء,"The fitting return for an action, whether reward or punishment. The word can be positive or negative and does not mean penalty alone.",penalty
الثواب,"Divine reward for faithful intention and action. It is recompense granted by Allah, not an independently earned wage.",compensation
العقاب,"A punitive consequence for culpable wrongdoing. It denotes just accountability, not uncontrolled revenge.",revenge
صحيفة الأعمال,The written record of a person's deeds. The word for sheet or record should not be translated as a modern newspaper.,work newspaper
تطاير الصحف,"The distribution or flying forth of deed records to their recipients. It is a traditional eschatological image, not newspapers flying.",newspapers flying
أصحاب اليمين,Those who receive their records in the right hand and attain salvation. The expression has no connection to modern right-wing politics.,right-wing people
أصحاب الشمال,Those associated with receiving their records in the left hand and with loss. The expression has no connection to left-wing politics.,left-wing people
وراء الظهر,"Receiving one's record from behind the back as a sign of ruin. It is an eschatological image, not an idiom for secrecy.",behind the back
الموازين القسط,The perfectly just scales established for judgment. The qualifying word emphasizes that the weighing contains no injustice.,balanced balances
ثقل الموازين,"The saving weight of good deeds in the scales. In this eschatological image, heaviness is favourable rather than burdensome.",heavy weight
خفة الموازين,"The ruinous lack of weight in the scale of good deeds. In this eschatological image, lightness is unfavourable.",lightness
الورود,"Coming to or passing by a place; in eschatological discussion, approaching Hell. Scholars differ on whether particular passages imply entry or only passage, so context matters.",arrival
الحوض,"The Prophet's basin from which members of his community will drink before entering Paradise. It is a specific eschatological gift, not an ordinary pool.",pool
الكوثر,"Abundant divine good and, specifically, a river or basin granted to the Prophet. The word has both a broad lexical meaning and a particular eschatological referent.",abundance
الشفاعة الكبرى,"The Prophet's great intercession for judgment to begin after creation has waited in distress. It is a specific eschatological station, not generic advocacy.",great mediation
المقام المحمود,"The praised station promised to the Prophet, commonly associated with the great intercession. Here ""station"" refers to rank and honour, not only location.",praiseworthy place
الفردوس,The highest or most excellent garden of Paradise. The word can refer specifically to Paradise's highest level rather than any pleasant garden.,paradise
دار السلام,"The abode of complete peace, safety, and wholeness, a Qur'anic name for Paradise. It is not an earthly building.",house of peace
دار المقامة,The permanent abode whose inhabitants no longer depart or suffer exhaustion. The name emphasizes settled and lasting residence.,house of residence
جنات عدن,"Gardens of permanent residence in Paradise. The word ""Adn"" emphasizes abiding and should not automatically import every association of the Biblical Eden.",gardens of Eden
النعيم,"Complete and lasting well-being and delight free from corruption. It includes comprehensive flourishing, not sensory pleasure alone.",pleasure
الرضوان,"Allah's supreme approval and favour. In Qur'anic sermon context, it means divine good pleasure.",satisfaction
رؤية الله,"The eschatological doctrine, affirmed in Sunni theology, that believers will see Allah in the Hereafter without defining how or imagining a form.",vision of God
الخلود,"Unending or extremely prolonged abiding, with the exact duration determined by context. In statements about the final abodes, it commonly means everlasting residence.",immortality
الدرجات,"Ascending ranks of reward corresponding to faith and deeds. They are spiritual levels, not academic grades.",degrees
الغرف,"Elevated chambers or dwellings in Paradise. It conveys honoured high residences, not ordinary bedrooms.",rooms
الحور العين,"Beautiful and purified companions of Paradise, described with striking eyes. The common rendering ""virgins"" is reductive and does not capture the full expression.",virgins
الولدان المخلدون,Ever-youthful attendants serving the people of Paradise. The description concerns service and perpetual youth and carries no sexual implication.,immortal boys
السندس,Fine and delicate silk garments of Paradise. The Arabic name may be retained to preserve the specific Qur'anic image.,brocade
الإستبرق,"Thick and rich silk brocade associated with Paradise, contrasted with the finer silk called sundus.",silk
الرحيق المختوم,"A pure, sealed drink of Paradise protected from contamination and harm. It should not be equated with harmful worldly intoxicants.",sealed wine
التسنيم,"A named, elevated spring in Paradise from which those brought nearest to Allah drink. It is a proper eschatological name, not generic water.",a fountain
السلسبيل,"A named spring in Paradise characterized by pleasant flow and ease of drinking. It is not simply ""ginger water."".",ginger water
الزنجبيل,Ginger or a ginger-like flavour mentioned in a drink of Paradise. The unseen reality should not be assumed to be identical in every respect to the worldly ingredient.,ginger
جهنم,"A principal Qur'anic proper name for Hell. Literary substitutes such as ""inferno"" do not carry its full religious associations.",inferno
الجحيم,"A blazing and intensely kindled fire, also used as a name or description of Hell.",hell
السعير,A fiercely flaring and continually kindled fire. It can name Hell or describe the intensity of its burning.,blaze
سقر,A Qur'anic proper name for Hell associated with scorching punishment. It should not be treated as an ordinary word for fire.,hellfire
لظى,"A leaping, skin-searing flame and a Qur'anic name of Hell. It is more specific than fire in general.",flame
الحطمة,"The crushing Fire, a Qur'anic name whose root conveys breaking and destroying what is cast into it.",crusher
الهاوية,"A plunging abyss and a Qur'anic name for a destination in Hell. The word evokes falling into great depth, not emptiness alone.",pit
السموم,"Penetrating scorching heat or wind. In this eschatological context, it does not mean a chemical poison.",poison
الحميم,Scalding liquid of extreme heat used as punishment. The same word can mean a close friend in a different context.,intimate friend
الغساق,"A foul punishment-fluid described by commentators as intensely cold, putrid, or otherwise tormenting. Because explanations vary, the Arabic name may be retained.",boiling water
الزقوم,"The accursed tree whose food is punishment for the people of Hell. It is a proper eschatological name, not a securely identifiable worldly plant.",a plant
الضريع,A thorny or noxious food of Hell that neither nourishes nor satisfies. It cannot be confidently identified with one modern plant.,dry grass
السلاسل,Chains used in eschatological punishment. In this context the word does not mean sequences or series.,series
الأغلال,"Iron collars, fetters, or shackles fastening the condemned. In other contexts, the same word can metaphorically mean rancour.",resentments
المقامع,Iron clubs or maces used in punishment. The uncommon plural is easily mistranslated as suppressors or restraints.,suppressors
الدركات,"Descending levels of punishment, especially in Hell. The word contrasts with darajat, which commonly refers to ascending ranks.",steps
الخزي,Humiliating disgrace exposed before others as a consequence of wrongdoing. It is not healthy remorse or modest shame.,shame
الحسرة,Piercing regret over an opportunity that can no longer be recovered. It is intensified by finality and is stronger than ordinary sadness.,sadness
الندامة,Regret that recognizes the ugliness and consequence of one's act. It can ground repentance in life but becomes futile after final judgment.,remorse
الويل,"A formula expressing severe woe, ruin, or threatened destruction. It should not automatically be translated as the name of a valley in Hell.",valley in Hell
الثبور,"A cry for destruction or annihilation when punishment becomes unbearable. It expresses desperate ruin, even though annihilation will not follow.",woe
الخلود في النار,Everlasting residence in Hell for those to whom revelation assigns it. The phrase should not be generalized to particular individuals without the relevant theological grounds.,long imprisonment
الأعراف,"The elevated partition or heights between Paradise and Hell described in the Qur'an. It is a proper eschatological place, not social customs.",customs
أصحاب الأعراف,People associated with the heights who recognize other groups by their marks. Qur'anic commentators differ about their precise identity.,people of customs
الوعد,"Allah's assured promise of good for faith and obedience. A divine promise is certain and truthful, not a prediction.",promise
الوعيد,"A solemn divine warning of punishment for wrongdoing. Repentance, forgiveness, and stated conditions may affect its application.",threat
النجاة,"Deliverance from punishment and destructive consequences. In religious sermons, it usually means moral and eschatological rescue, not physical survival alone.",survival
الفوز,"Attaining the desired divine reward while being saved from what is feared. It is ultimate success, not victory over competitors.",winning
الفوز العظيم,The supreme attainment of Allah's approval and Paradise. It is not primarily military or electoral.,great victory
المآب,The final place or condition to which a person returns. It emphasizes return to Allah and the ultimate abode.,destination
المرجع,"The inevitable return of all people and affairs to Allah. Here the word means destination or return, not a citation source.",reference
المصير,The final outcome and destination toward which one's course leads. It connects conduct with its end and does not mean blind fate.,fate
النبي,"A human chosen by Allah to receive revelation and guide people. A prophet is not a fortune-teller, and prophethood is divinely granted rather than acquired.",prophet
الرسول,"A messenger commissioned by Allah to convey revelation. The word can refer to a human or angelic messenger, depending on context.",apostle
النبوة,"The divinely granted office and reality of prophethood. It concerns revelation and religious mission, not prediction of future events.",prediction
الرسالة,"The divinely entrusted message and mission carried by a messenger. In ordinary language, the same word can mean a letter or treatise.",letter
خاتم النبيين,"The final Prophet, after whom no prophet will arise. The expression conveys both finality and completion, not merely a decorative seal.",seal of prophets
المصطفى,"The one specially chosen, commonly used as an epithet for Prophet Muhammad. It means ""the chosen one,"" not ""the purified one."".",the purified one
المجتبى,The one specially selected and drawn near by Allah. It is a devotional epithet expressing divine choice.,the collector
الحبيب,"The beloved one; in devotional speech, an epithet for the Prophet. It means the one who is loved, not a romantic partner.",lover
البشير,The messenger who brings hope-giving good news. It is a prophetic function balanced by warning.,announcer
النذير,"The messenger who gives timely warning before accountability. The warning is intended to allow repentance and change, not merely to threaten.",threatener
السراج المنير,"An illuminating lamp that spreads guidance, a Qur'anic description of the Prophet. It is a metaphor for guidance and does not imply divinity.",bright lamp
الأسوة,"A model whose conduct is consciously followed. It is an embodied pattern for imitation, not an isolated example.",example
القدوة,A person or pattern taken as a practical moral model. It emphasizes imitation through conduct rather than formal authority.,leader
السيرة,"The Prophet's lived biography, conduct, and historical mission. It is a formative religious field of study, not chronology alone.",biography
الشمائل,"The Prophet's physical appearance, habits, temperament, and noble character. It is also the name of a devotional literary genre.",features
الدلائل,"The signs and evidences demonstrating prophethood, including miracles, fulfilled reports, character, and historical proof.",indicators
المعجزة,An extraordinary sign granted by Allah to a prophet as confirmation of the prophetic mission. The prophet does not possess the power independently.,miracle
الإرهاص,An extraordinary sign occurring before a prophet's mission as preparation for it. It is distinct from a miracle granted after the prophetic mission begins.,premonition
الكرامة الخارقة,An extraordinary occurrence granted by Allah to a righteous servant without a claim to prophethood. It does not establish new law or prove every claim made by the recipient.,miracle
العصمة,"Allah's protection of prophets from error or sin in the respects defined by theology. Religious schools differ on its precise scope, and it does not mean prophets cease to be human.",infallibility
التبليغ,"Faithfully conveying revelation without concealment or alteration. It is a prophetic duty and, more broadly, a responsibility of careful religious transmission.",broadcasting
الأمانة النبوية,The Prophet's complete trustworthiness in conveying revelation and fulfilling every entrusted duty. It is broader than simply not lying.,honesty
الفطانة,"Penetrating intelligence and sound judgment, classically affirmed as a prophetic quality. It means wise acuity, not cunning.",cleverness
الصدق النبوي,"The Prophet's complete truthfulness in conveying revelation from Allah. It concerns correspondence with truth, not merely sincerity of intention.",sincerity
الحديث,"A transmitted report about the Prophet's words, actions, approvals, or attributes. Calling a report ""hadith"" identifies its genre, not its level of authenticity.",conversation
الخبر,"A transmitted report. In hadith theory, some scholars use it as a synonym of hadith while others apply it more broadly to reports about the Prophet and others.",news
السند,"The chain of transmitters supporting a report. In hadith studies, it is a technical transmission chain, not general support.",support
المتن,The wording and content of a hadith reached after the chain of transmitters. It is the textual body of the report.,solid
الراوي,"A person who transmits a report from a source. It carries responsibility for exact transmission, not fictional storytelling.",narrator
التخريج,Tracing a hadith to its source collections and routes of transmission. The process may also include discussion of authenticity and variant wording.,graduation
الصحة الحديثية,A hadith's fulfilment of defined conditions for reliable attribution. Technical authenticity concerns the report's transmission and does not settle every interpretation drawn from it.,truth
الصحيح,"A hadith with a connected chain of upright and accurate transmitters, free from decisive irregularity and hidden defect. It is a technical grade, not a claim that every interpretation is undisputed.",correct
الحسن,"An acceptable hadith whose transmitters' precision is generally below the highest authentic grade. The word is a technical classification, not aesthetic praise.",good
الضعيف,A report that fails one or more conditions of accepted authenticity. Weak reports have different degrees and are not automatically fabricated.,weak
الموضوع,"A fabricated report falsely attributed to the Prophet. In ordinary Arabic the same word means ""subject"" or ""topic,"" so context is essential.",topic
المتواتر,"A report transmitted through so many independent routes that deliberate collusion on fabrication is considered impossible. Under its technical conditions, it conveys the highest level of transmission certainty.",frequent
الآحاد,A report that does not reach the threshold of mass transmission. It may have several chains and be authentic; the term does not mean only one narrator.,singular
المشهور,"A report that is widely transmitted or well known, with technical definitions varying between hadith scholars. Popular circulation alone does not establish authenticity.",famous
الصحابي,"A person who met the Prophet as a believer and died as a Muslim, according to the standard technical definition. It is a defined historical category, not merely a close friend.",disciple
الصحابة,The Companions collectively: the first believing generation who met and followed the Prophet. The word carries historical and religious significance beyond ordinary companionship.,companions
التابعي,"A Muslim who met one or more Companions but did not meet the Prophet, under the technical definition. The word names the second generation, not any follower.",follower
تابع التابعي,A member of the generation that learned from the Successors. It is a technical classification of the third early Muslim generation.,follower of the Successors
السلف,"The exemplary early Muslim generations, especially the Companions and their immediate successors. It does not mean every ancestor or predecessor.",ancestors
الخلف,Later generations who succeeded the early Muslims. The word can be neutral or carry positive or negative connotations depending on context and vocalization.,successors
القرون المفضلة,"The earliest Muslim generations praised in Prophetic tradition. Here ""qurun"" means generations, not necessarily exact hundred-year centuries.",the best generations
الخلافة,"Succession in communal leadership and stewardship after the Prophet. The word has theological, historical, and political senses that should not be collapsed into one modern model.",caliphate
الخليفة,"A successor, steward, or historical head of the Muslim polity. It should not automatically be translated ""God's deputy,"" because the implied predecessor and theological meaning vary.",deputy of God
الإمام,"A person placed in front as a prayer leader, scholar, model, or ruler. The word does not by default imply a priestly or sacramental office.",priest
أمير المؤمنين,"A historical title meaning the recognized leader or commander of the believers. The word ""amir"" does not necessarily mean a hereditary prince.",Commander of the Believers
البيعة,"A solemn pledge of allegiance and lawful obedience to a recognized leader. It is a covenantal political-religious commitment, not simply a modern vote.",vote
الطاعة في المعروف,Obedience to human authority only in what is recognized as lawful and right. The expression explicitly excludes obedience in sin.,obedience in what is right
النصيحة للأئمة,"Sincere counsel and concern for the rectitude of leaders. Depending on context, ""leaders"" may mean rulers, religious authorities, or prayer leaders.",sincere counsel to leaders
الجهاد,Strenuous effort in Allah's cause. The word is broader than warfare; in legal contexts it can include regulated armed struggle subject to authority and ethical rules.,holy war
القتال,Actual armed fighting. It is the direct word for combat and should not be treated as synonymous with every form of striving in Allah's cause.,jihad
الرباط,"Vigilant service at a frontier and, by extension, sustained readiness in worship and duty. It has both historical military and devotional meanings.",bond
الشهادة في سبيل الله,Death in circumstances regarded by Islamic law as martyrdom while sincerely serving Allah's cause. The status is not self-declared and cannot justify harming protected people.,suicide attack
دار الإسلام,"A classical juristic designation for territory under Muslim rule, security, or legal authority. Definitions varied historically and should not be mapped mechanically onto modern borders.",muslim country
دار الحرب,A classical juristic category for territory lacking treaty relations or Muslim legal security. It is not a timeless label for every non-Muslim-majority society.,abode of war
دار العهد,A territory or polity linked to Muslim authority by treaty or covenant. It is a historical legal category centred on the binding force of agreement.,allied country
الهدنة,"A temporary cessation of hostilities established by agreement. It is a binding truce, not a deceptive pause.",truce
الصلح النبوي,"Reconciliation or treaty-making following Prophetic principles to secure justice, reduce harm, and preserve legitimate interests. It can involve strategic patience without abandoning principle.",compromise
فتح مكة,"The Muslim entry into Mecca, marked by victory, broad amnesty, and restoration of the sanctuary. The word ""opening"" can better convey its religious meaning than conquest alone.",conquest of Mecca
الهجرة,"Leaving a place or condition for the sake of faith; specifically, the Prophet's migration from Mecca to Medina. It can have historical, legal, or moral meanings.",immigration
المهاجر,"A person who leaves home for Allah and to protect or practise faith. In early Islamic history, it especially refers to the Emigrants from Mecca.",migrant
الأنصار,"The Medinan Muslims who supported the Prophet and the Emigrants. It is a proper historical title, not a generic word for volunteers.",helpers
المؤاخاة,"Establishing bonds of brotherhood and mutual support, especially between the Emigrants and Helpers in Medina. It was a structured form of social integration.",fraternization
الفتح,"An opening granted by Allah, which can mean victory, judgment, access, relief, or spiritual insight. ""Conquest"" is only one possible rendering.",conquest
النصر,"Effective help and support, especially divine aid that enables truth and its people to prevail. It does not necessarily mean military victory.",victory
التمكين,"Being established with security, authority, and practical capacity to fulfil responsibility. It means accountable stewardship, not domination for its own sake.",empowerment
الاستخلاف,"Being made successors or stewards entrusted with responsibility on earth. It denotes succession and trust, not replacing God.",vicegerency
خطبة الجمعة,"The formal two-part Friday sermon delivered before the congregational prayer. It is an act of worship with legal conditions, not an ordinary lecture.",friday speech
الخطيب,The person entrusted to deliver a formal sermon or public address. The role carries ritual and moral responsibility but does not necessarily imply ordained clergy.,preacher
المقدمة,"The opening section that prepares the sermon's theme. In classical khutbah it often includes praise, testimony, and blessings.",introduction
خطبة الحاجة,"A transmitted opening formula that praises Allah, seeks His help, and recites verses about taqwa. It is used before sermons, speeches, and some contracts, not only when discussing personal needs.",sermon of need
الاسترجاع,"Saying ""Indeed we belong to Allah, and to Him we return,"" especially after a loss. It is a declaration of belonging, mortality, and return, not retrieval.",retrieval
أما بعد,"A classical transition meaning ""to proceed"" or ""as for what follows,"" moving from the sermon's opening praise to the main subject.",but after
أوصيكم ونفسي,"I counsel you and myself, a sermon formula acknowledging that the preacher shares the listeners' accountability. Here the word means earnest counsel, not a legal testament.",I advise you and myself
عباد الله,"Servants or worshippers of Allah, a dignifying address reminding listeners of their devoted belonging to Him. ""Slaves"" can obscure the honour intended in this context.",slaves of God
اتقوا الله,"Cultivate vigilant awareness of Allah through obedience and avoidance of sin. The command calls for active taqwa, not fear alone.",fear God
حق تقاته,"Observe Allah with the full reverence, obedience, and seriousness that His majesty deserves. It refers to the due measure of taqwa, not extreme panic.",fear Him as He deserves
فاتقوا الله,Therefore remain consciously guarded before Allah in the matter being discussed. The connective makes taqwa the practical conclusion of the preceding reminder.,so fear God
اعلموا رحمكم الله,Know and take heed—may Allah have mercy on you. It is a gentle teaching formula that combines instruction with supplication.,"know, may Allah have mercy on you"
رحمكم الله,"May Allah encompass you in mercy. Although Arabic uses a past-tense form, the expression functions as a present supplication.",may Allah have mercy on you
غفر الله لي ولكم,May Allah forgive me and you. The Arabic past-tense form functions as a supplication and is traditionally used near a transition in the sermon.,may Allah forgive us
أقول قولي هذا,"I conclude this portion with what I have said. It is a conventional sermon formula, not self-praise.",I say these words
وأستغفر الله,"And I seek Allah's forgiveness. The request includes pardon, covering of sin, and protection from its consequences.",I seek Allah's forgiveness
فاستغفروه,"Therefore seek His forgiveness and return to Him. The command implies repentance and changed conduct, not words alone.",ask Him to forgive
إنه هو الغفور الرحيم,He alone is the abundantly forgiving and ever-merciful. The wording emphasizes the continuity and abundance of these divine qualities.,"He is the Forgiving, the Merciful"
اللهم,"O Allah. It is a direct form of address used in supplication, not a statement about Allah.",god
اللهم آمين,"O Allah, answer and accept this supplication. ""Amin"" is a plea for response, not a divine name or merely the word ""truly."".",god amen
أما بعد فاتقوا الله,To proceed: remain consciously guarded before Allah. It is a standard transition that frames the sermon's main counsel through taqwa.,and then fear God
خير الكلام,"The truest, finest, or most beneficial speech, depending on what follows. The word ""best"" can refer to moral excellence, benefit, or comparison, not eloquence alone.",best words
هدي محمد,"The guiding way and lived pattern of Prophet Muhammad. Without vowel marks, the Arabic can be confused with a word for a pilgrimage offering.",Muhammad's guidance
