Arabic term,Meaning,Literal translation,Arabic variations + translation,Alternative context meaning(s)
الصدق النبوي,"The Prophet's complete truthfulness in conveying revelation from Allah. It concerns correspondence with truth, not merely sincerity of intention.",sincerity,,
الحديث,"A transmitted report about the Prophet's words, actions, approvals, or attributes. Calling a report ""hadith"" identifies its genre, not its level of authenticity.",conversation,حَدَّثَ (verb) — tell; narrate | مُحَدِّث (noun) — hadith scholar; narrator,Adjectival context: modern; recent.
الخبر,"A transmitted report. In hadith theory, some scholars use it as a synonym of hadith while others apply it more broadly to reports about the Prophet and others.",news,أَخْبَرَ (verb) — inform; tell | أَخْبَار (plural) — reports; news,Arabic grammar: predicate of a nominal sentence.
السند,"The chain of transmitters supporting a report. In hadith studies, it is a technical transmission chain, not general support.",support,أَسْنَدَ (verb) — support; attribute | أَسَانِيد (plural) — chains of transmission; authorities,Finance/documentary context: bond/deed; supporting document.
المتن,The wording and content of a hadith reached after the chain of transmitters. It is the textual body of the report.,solid,مُتُون (plural) — texts; main bodies,General textual context: main body of a text; text apart from commentary.
التخريج,Tracing a hadith to its source collections and routes of transmission. The process may also include discussion of authenticity and variant wording.,graduation,خَرَّجَ (verb) — trace hadith sources; graduate | مُخَرِّج (noun) — source-tracer; hadith researcher,
الصحة الحديثية,A hadith's fulfilment of defined conditions for reliable attribution. Technical authenticity concerns the report's transmission and does not settle every interpretation drawn from it.,truth,,
الصحيح,"A hadith with a connected chain of upright and accurate transmitters, free from decisive irregularity and hidden defect. It is a technical grade, not a claim that every interpretation is undisputed.",correct,,Health/general context: healthy; sound.
الحسن,"An acceptable hadith whose transmitters' precision is generally below the highest authentic grade. The word is a technical classification, not aesthetic praise.",good,,
الضعيف,A report that fails one or more conditions of accepted authenticity. Weak reports have different degrees and are not automatically fabricated.,weak,,
الموضوع,"A fabricated report falsely attributed to the Prophet. In ordinary Arabic the same word means ""subject"" or ""topic,"" so context is essential.",topic,,
المتواتر,"A report transmitted through so many independent routes that deliberate collusion on fabrication is considered impossible. Under its technical conditions, it conveys the highest level of transmission certainty.",frequent,,
الآحاد,A report that does not reach the threshold of mass transmission. It may have several chains and be authentic; the term does not mean only one narrator.,singular,,
المشهور,"A report that is widely transmitted or well known, with technical definitions varying between hadith scholars. Popular circulation alone does not establish authenticity.",famous,,
التابعي,"A Muslim who met one or more Companions but did not meet the Prophet, under the technical definition. The word names the second generation, not any follower.",follower,تَبِعَ (verb) — follow; succeed | تَابِع (noun/adjective) — follower; subordinate,
تابع التابعي,A member of the generation that learned from the Successors. It is a technical classification of the third early Muslim generation.,follower of the Successors,,
السلف,"The exemplary early Muslim generations, especially the Companions and their immediate successors. It does not mean every ancestor or predecessor.",ancestors,سَلَفَ (verb) — precede; pass before | أَسْلَاف (plural) — predecessors; ancestors,Finance context: advance payment; loan.
الخلف,Later generations who succeeded the early Muslims. The word can be neutral or carry positive or negative connotations depending on context and vocalization.,successors,خَلَفَ (verb) — succeed; come after | أَخْلَاف (plural) — later generations; descendants,Different vocalization (الخُلْف): breach of promise; failure to keep one's word.
القرون المفضلة,"The earliest Muslim generations praised in Prophetic tradition. Here ""qurun"" means generations, not necessarily exact hundred-year centuries.",the best generations,,
الخلافة,"Succession in communal leadership and stewardship after the Prophet. The word has theological, historical, and political senses that should not be collapsed into one modern model.",caliphate,,
الخليفة,"A successor, steward, or historical head of the Muslim polity. It should not automatically be translated ""God's deputy,"" because the implied predecessor and theological meaning vary.",deputy of God,خَلَفَ (verb) — succeed; replace | خُلَفَاء (plural) — successors; caliphs,
الإمام,"A person placed in front as a prayer leader, scholar, model, or ruler. The word does not by default imply a priestly or sacramental office.",priest,أَمَّ (verb) — lead; head toward | أَئِمَّة (plural) — leaders; imams,"Qur'anic context: a leading record/register or guiding text, depending on the construction."
أمير المؤمنين,"A historical title meaning the recognized leader or commander of the believers. The word ""amir"" does not necessarily mean a hereditary prince.",Commander of the Believers,,
البيعة,"A solemn pledge of allegiance and lawful obedience to a recognized leader. It is a covenantal political-religious commitment, not simply a modern vote.",vote,,Commercial/classical context: sale; transaction.
الطاعة في المعروف,Obedience to human authority only in what is recognized as lawful and right. The expression explicitly excludes obedience in sin.,obedience in what is right,,
النصيحة للأئمة,"Sincere counsel and concern for the rectitude of leaders. Depending on context, ""leaders"" may mean rulers, religious authorities, or prayer leaders.",sincere counsel to leaders,,
الجهاد,Strenuous effort in Allah's cause. The word is broader than warfare; in legal contexts it can include regulated armed struggle subject to authority and ethical rules.,holy war,,
القتال,Actual armed fighting. It is the direct word for combat and should not be treated as synonymous with every form of striving in Allah's cause.,jihad,,
الرباط,"Vigilant service at a frontier and, by extension, sustained readiness in worship and duty. It has both historical military and devotional meanings.",bond,رَابَطَ (verb) — remain stationed; keep watch | مُرَابِط (noun) — sentry; one stationed on guard,Anatomy/general context: ligament; tie or bond.
الشهادة في سبيل الله,Death in circumstances regarded by Islamic law as martyrdom while sincerely serving Allah's cause. The status is not self-declared and cannot justify harming protected people.,suicide attack,,
دار الإسلام,"A classical juristic designation for territory under Muslim rule, security, or legal authority. Definitions varied historically and should not be mapped mechanically onto modern borders.",muslim country,,
دار الحرب,A classical juristic category for territory lacking treaty relations or Muslim legal security. It is not a timeless label for every non-Muslim-majority society.,abode of war,,
دار العهد,A territory or polity linked to Muslim authority by treaty or covenant. It is a historical legal category centred on the binding force of agreement.,allied country,,
الهدنة,"A temporary cessation of hostilities established by agreement. It is a binding truce, not a deceptive pause.",truce,,
الصلح النبوي,"Reconciliation or treaty-making following Prophetic principles to secure justice, reduce harm, and preserve legitimate interests. It can involve strategic patience without abandoning principle.",compromise,,
فتح مكة,"The Muslim entry into Mecca, marked by victory, broad amnesty, and restoration of the sanctuary. The word ""opening"" can better convey its religious meaning than conquest alone.",conquest of Mecca,,
الهجرة,"Leaving a place or condition for the sake of faith; specifically, the Prophet's migration from Mecca to Medina. It can have historical, legal, or moral meanings.",immigration,هَاجَرَ (verb) — emigrate; migrate | مُهَاجِر (noun) — emigrant; migrant,
المهاجر,"A person who leaves home for Allah and to protect or practise faith. In early Islamic history, it especially refers to the Emigrants from Mecca.",migrant,,
الأنصار,"The Medinan Muslims who supported the Prophet and the Emigrants. It is a proper historical title, not a generic word for volunteers.",helpers,نَصَرَ (verb) — help; support | نَاصِر (noun) — helper; supporter,
المؤاخاة,"Establishing bonds of brotherhood and mutual support, especially between the Emigrants and Helpers in Medina. It was a structured form of social integration.",fraternization,آخَى (verb) — establish brotherhood; befriend | مُؤَاخٍ (noun) — one joined in brotherhood; brotherly associate,
الفتح,"An opening granted by Allah, which can mean victory, judgment, access, relief, or spiritual insight. ""Conquest"" is only one possible rendering.",conquest,فَتَحَ (verb) — open; conquer | فَاتِح (noun) — opener; conqueror,
التمكين,"Being established with security, authority, and practical capacity to fulfil responsibility. It means accountable stewardship, not domination for its own sake.",empowerment,مَكَّنَ (verb) — enable; establish firmly | مُمَكَّن (adjective) — empowered; established,
الاستخلاف,"Being made successors or stewards entrusted with responsibility on earth. It denotes succession and trust, not replacing God.",vicegerency,اِسْتَخْلَفَ (verb) — appoint as successor; grant stewardship | مُسْتَخْلَف (noun/adjective) — appointed successor; steward,
الخطيب,The person entrusted to deliver a formal sermon or public address. The role carries ritual and moral responsibility but does not necessarily imply ordained clergy.,preacher,خَطَبَ (verb) — address; preach | خُطَبَاء (plural) — preachers; orators,Family/social context: fiancé; suitor.
المقدمة,"The opening section that prepares the sermon's theme. In classical khutbah it often includes praise, testimony, and blessings.",introduction,قَدَّمَ (verb) — present; put forward,Logic: premise; spatial context: front/vanguard.
خطبة الحاجة,"A transmitted opening formula that praises Allah, seeks His help, and recites verses about taqwa. It is used before sermons, speeches, and some contracts, not only when discussing personal needs.",sermon of need,,
الاسترجاع,"Saying ""Indeed we belong to Allah, and to Him we return,"" especially after a loss. It is a declaration of belonging, mortality, and return, not retrieval.",retrieval,اِسْتَرْجَعَ (verb) — retrieve; recover,
أما بعد,"A classical transition meaning ""to proceed"" or ""as for what follows,"" moving from the sermon's opening praise to the main subject.",but after,,
أوصيكم ونفسي,"I counsel you and myself, a sermon formula acknowledging that the preacher shares the listeners' accountability. Here the word means earnest counsel, not a legal testament.",I advise you and myself,,
عباد الله,"Servants or worshippers of Allah, a dignifying address reminding listeners of their devoted belonging to Him. ""Slaves"" can obscure the honour intended in this context.",slaves of God,,
اتقوا الله,"Cultivate vigilant awareness of Allah through obedience and avoidance of sin. The command calls for active taqwa, not fear alone.",fear God,,
حق تقاته,"Observe Allah with the full reverence, obedience, and seriousness that His majesty deserves. It refers to the due measure of taqwa, not extreme panic.",fear Him as He deserves,,
فاتقوا الله,Therefore remain consciously guarded before Allah in the matter being discussed. The connective makes taqwa the practical conclusion of the preceding reminder.,so fear God,,
اعلموا رحمكم الله,Know and take heed—may Allah have mercy on you. It is a gentle teaching formula that combines instruction with supplication.,"know, may Allah have mercy on you",,
أقول قولي هذا,"I conclude this portion with what I have said. It is a conventional sermon formula, not self-praise.",I say these words,,
إنه هو الغفور الرحيم,He alone is the abundantly forgiving and ever-merciful. The wording emphasizes the continuity and abundance of these divine qualities.,"He is the Forgiving, the Merciful",,
اللهم,"O Allah. It is a direct form of address used in supplication, not a statement about Allah.",god,,
اللهم آمين,"O Allah, answer and accept this supplication. ""Amin"" is a plea for response, not a divine name or merely the word ""truly."".",god amen,,
أما بعد فاتقوا الله,To proceed: remain consciously guarded before Allah. It is a standard transition that frames the sermon's main counsel through taqwa.,and then fear God,,
خير الكلام,"The truest, finest, or most beneficial speech, depending on what follows. The word ""best"" can refer to moral excellence, benefit, or comparison, not eloquence alone.",best words,,
هدي محمد,"The guiding way and lived pattern of Prophet Muhammad. Without vowel marks, the Arabic can be confused with a word for a pilgrimage offering.",Muhammad's guidance,,
شر الأمور,"The most harmful and blameworthy matters, as defined by the continuation of the quotation. The word ""evil"" here is a moral judgment, not simply ""worst"" in quality.",worst things,,
كل بدعة ضلالة,"Every innovation introduced into religion without a valid basis is a departure from guidance. The statement does not refer to ordinary new tools, technologies, languages, or administrative practices.",every innovation is misguidance,,
عليكم بسنتي,Hold firmly to my normative way. The construction is an emphatic command to adhere to the Prophet's guidance.,hold to my Sunnah,,
عضوا عليها بالنواجذ,Cling to it with the greatest firmness. The expression literally mentions biting with the molars as a vivid idiom for determined adherence.,hold firmly to it,,
الدال على الخير,"A person who directs, teaches, or helps others perform a good deed and therefore shares in its reward. The word includes facilitation, not indication alone.",pointer to good,,
من سن سنة حسنة,"A person who initiates or revives an established good practice that others then follow. The hadith concerns a precedent within revealed goodness, not inventing worship without basis.",who establishes a good practice,,
البلاغ المبين,Clear and complete delivery that makes the message fully intelligible. The adjective emphasizes faithful and lucid conveyance.,clear delivery,,
قيام الحجة,"The point at which relevant evidence has been sufficiently established for responsibility or judgment to apply. It is a theological and legal threshold, not merely winning an argument.",the proof standing,,
